Date,Category,Rejected Cat 1,Rejected Cat 2,Puzzle,Letters,Prize,Win?,Notes,Season
"November 5, 2001",Thing,NA,NA,PAY PHONE,C D P A,Chrysler Sebring,No,NA,19
"November 6, 2001",Things,NA,NA,CHICKEN WINGS,C H W I,"$25,000",Yes,NA,19
"November 7, 2001",Event,NA,NA,YACHTING,M K P A,BMW Z3,No,NA,19
"November 8, 2001",Thing,NA,NA,VIOLIN,C D P A,"$25,000",No,NA,19
"November 9, 2001",Thing,NA,NA,CLIPBOARD,C M P A,"$25,000",No,NA,19
"November 12, 2001",Thing,NA,NA,GIFT BOX,H C P I,"$25,000",No,NA,19
"November 13, 2001",Phrase,NA,NA,I'M JOKING,M G C I,Ford Explorer,Yes,NA,19
"November 14, 2001",Living Thing,NA,NA,LADYBUG,F D M O,Ford Explorer,No,NA,19
"November 15, 2001",Phrase,NA,NA,HIGH IN FIBER,C D K I,"$25,000",No,NA,19
"November 16, 2001",Person,NA,NA,MOVIE BUFF,D M P I,"$25,000",No,NA,19
"November 19, 2001",Things,NA,NA,HOBBIES,F H P O,"$25,000",Yes,NA,19
"November 20, 2001",Person,NA,NA,BLABBERMOUTH,C Y B A,Pair of Volkswagen Cabrios,Yes,NA,19
"November 21, 2001",Place,NA,NA,BANK VAULT,C D B A,"$25,000",Yes,NA,19
"November 22, 2001",Around the House,NA,NA,WAX PAPER,C M D A,Pair of Jeep Libertys,Yes,NA,19
"November 23, 2001",Thing,NA,NA,BABY FACE,C M B A,Pair of Volkswagen Cabrios,Yes,NA,19
"November 26, 2001",Phrase,NA,NA,TIGHT-LIPPED,C M H A,Nissan Pathfinder,Yes,NA,19
"November 27, 2001",Phrase,NA,NA,I'M BUSHED,M F P I,"$25,000",No,NA,19
"November 28, 2001",Around the House,NA,NA,CHEX MIX,O D C M,"$25,000",No,NA,19
"November 29, 2001",Phrase,NA,NA,ARE YOU AWAKE?,P C M A,"$25,000",No,NA,19
"November 30, 2001",Phrase,NA,NA,DON'T FIDGET,Y D C O,Audi A6,Yes,NA,19
"December 3, 2001",On the Map,NA,NA,BALI,D C M O,"$25,000",Yes,NA,19
"December 4, 2001",Thing,NA,NA,JUNK FOOD,K B H A,"$25,000",Yes,NA,19
"December 5, 2001",Thing,NA,NA,A RIPE MANGO,D C K A,"$25,000",No,NA,19
"December 6, 2001",Person,NA,NA,A VIRGO,G M D A,Porsche Boxster,No,NA,19
"December 7, 2001",Occupation,NA,NA,BUSBOY,D H C I,"$25,000",No,NA,19
"December 10, 2001",Phrase,NA,NA,FINISH UP,B H P I,"$25,000",Yes,NA,19
"December 11, 2001",Around the House,NA,NA,FUSE BOX,H C M A,Mercedes SLK,No,NA,19
"December 12, 2001",Show Biz,NA,NA,A SIGHT GAG,P D M I,Jaguar X-Type,No,NA,19
"December 13, 2001",Thing,NA,NA,TAKE-HOME PAY,P C M A,"$25,000",No,NA,19
"December 14, 2001",Proper Name,NA,NA,NAOMI JUDD,M C D A,"$25,000",Yes,NA,19
"December 17, 2001",Phrase,NA,NA,IT'S PUZZLING,C D M O,"$25,000",No,NA,19
"December 18, 2001",Thing,NA,NA,FRIZZY HAIR,D M P A,"$25,000",No,NA,19
"December 19, 2001",Thing,NA,NA,A HAPPY MEAL,P M H A,"$100,000",Yes,NA,19
"December 20, 2001",Around the House,NA,NA,BATHTUB,C D P A,"$25,000",No,NA,19
"December 21, 2001",Thing,NA,NA,WORKBOOK,P D M A,"$25,000",No,NA,19
"December 24, 2001",Phrase,NA,NA,HOUR BY HOUR,C D P O,"$25,000",No,NA,19
"December 25, 2001",Thing,NA,NA,RICE PILAF,C D B A,Chevrolet Camaro,Yes,NA,19
"December 26, 2001",Thing,NA,NA,GLAZED HAM,P M D A,"$25,000",No,NA,19
"December 27, 2001",Around the House,NA,NA,GAS LOG,B C D I,Chevrolet Avalanche,No,NA,19
"December 28, 2001",Phrase,NA,NA,I'M BLUFFING,C D M I,"$25,000",No,NA,19
"December 31, 2001",Phrase,NA,NA,FIX IT,M C B A,Audi TT,No,NA,19
"January 1, 2002",Things,NA,NA,PAIL & SHOVEL,C P G O,"$25,000",Yes,NA,19
"January 2, 2002",Person,NA,NA,IRISHMAN,P C D O,"$25,000",No,NA,19
"January 3, 2002",Thing,NA,NA,A BEIGE COAT,D M C O,Audi TT,No,NA,19
"January 4, 2002",Person,NA,NA,A BUSYBODY,C P H A,"$25,000",No,NA,19
"January 7, 2002",Phrase,NA,NA,DON'T BE PUSHY,D W C O,"$25,000",No,NA,19
"January 8, 2002",Thing,NA,NA,A PAGER,B P C A,Chevrolet Tahoe,Yes,NA,19
"January 9, 2002",Thing,NA,NA,A FIRM GRIP,C D M A,"$25,000",Yes,NA,19
"January 10, 2002",Phrase,NA,NA,HAVE FUN,W G H I,"$25,000",Yes,NA,19
"January 11, 2002",Fictional Characters,NA,NA,DOC & BASHFUL,H M B A,Chevrolet Blazer,Yes,NA,19
"January 14, 2002",Place,NA,NA,FISHPOND,M P H A,"$100,000",No,NA,19
"January 15, 2002",Phrase,NA,NA,YOU WIN,C D M A,"$25,000",No,NA,19
"January 16, 2002",Event,NA,NA,JOB-HUNTING,D P M O,"$25,000",No,NA,19
"January 17, 2002",Thing,NA,NA,CRUMB CAKE,C B D A,Jeep Wrangler,Yes,NA,19
"January 18, 2002",Thing,NA,NA,SOUP BOWL,P K H I,"$25,000",No,NA,19
"January 21, 2002",Thing,NA,NA,A WINK,C D H I,"$100,000",No,NA,19
"January 22, 2002",Phrase,NA,NA,NOT TOO SHABBY,C P D O,"$25,000",No,NA,19
"January 23, 2002",Event,NA,NA,A GUSTY DAY,A Y C D,"$25,000",Yes,NA,19
"January 24, 2002",Phrase,NA,NA,I'LL FAKE IT,M K P I,"$25,000",Yes,NA,19
"January 25, 2002",Living Thing,NA,NA,BOBCAT,H G D O,"$25,000",No,NA,19
"January 28, 2002",On the Map,NA,NA,YOUNGSTOWN,C M H O,"$25,000",No,NA,19
"January 29, 2002",Thing,NA,NA,A TEACUP,M P H A,"$25,000",Yes,NA,19
"January 30, 2002",Things,NA,NA,TIDBITS,C H M A,"$25,000",No,NA,19
"January 31, 2002",Living Things,NA,NA,PUPPIES,G M D I,"$25,000",No,NA,19
"February 1, 2002",Fictional Character,NA,NA,THE JOKER,J K H O,"$25,000",Yes,NA,19
"February 4, 2002",On the Map,NA,NA,TRIPOLI,M I B D,"$25,000",Yes,NA,19
"February 5, 2002",Person,NA,NA,A DUKE,P H M I,"$25,000",No,NA,19
"February 6, 2002",Phrase,NA,NA,HIP HIP HOORAY,C M P O,"$25,000",Yes,NA,19
"February 7, 2002",Phrase,NA,NA,DON'T BRAG,C D F U,"$25,000",No,NA,19
"February 8, 2002",Thing,NA,NA,A BIRDHOUSE,D P M I,"$25,000",Yes,NA,19
"February 11, 2002",Event,NA,NA,A BAKE-OFF,C D M I,"$25,000",No,NA,19
"February 12, 2002",Phrase,NA,NA,INCH BY INCH,F G C O,"$25,000",Yes,NA,19
"February 13, 2002",Place,NA,NA,KARAOKE BAR,F M D O,"$25,000",No,NA,19
"February 14, 2002",Phrase,NA,NA,I FIGURED,C M G A,"$25,000",Yes,NA,19
"February 15, 2002",Thing,NA,NA,A DAIQUIRI,C M D I,"$25,000",Yes,NA,19
"February 18, 2002",Things,NA,NA,PEAK HOURS,M P C A,Chrysler PT Cruiser,No,NA,19
"February 19, 2002",Phrase,NA,NA,I JUST MIGHT,P F C A,"$30,000",No,NA,19
"February 20, 2002",Phrase,NA,NA,I GOT A JOB,G D M A,"$25,000",No,NA,19
"February 21, 2002",Thing,NA,NA,A HOUSE KEY,M C D A,Chrysler PT Cruiser,No,NA,19
"February 22, 2002",Event,NA,NA,A BIG WIN,P C M I,"$25,000",No,NA,19
"February 25, 2002",Phrase,NA,NA,I'M BLUSHING,F I G C,"$25,000",Yes,NA,19
"February 26, 2002",Living Thing,NA,NA,A CUDDLY DOG,P C H O,Pair of Ford Explorers,No,NA,19
"February 27, 2002",Phrase,NA,NA,YOU MAY BEGIN,M D P A,Pair of Jaguar X-Types,No,NA,19
"February 28, 2002",Thing,NA,NA,A PUZZLE,M D P A,Pair of Chrysler PT Cruisers,Yes,NA,19
"March 1, 2002",Phrase,NA,NA,I CAN'T KNOCK IT,D K C O,"$25,000",Yes,NA,19
"March 4, 2002",Living Thing,NA,NA,A GREYHOUND,C H M A,Dodge Durango,No,NA,19
"March 5, 2002",On the Map,NA,NA,PRAGUE,G H M I,"$25,000",No,NA,19
"March 6, 2002",Person,NA,NA,THE SKIPPER,H C D A,Mazda Miata,No,NA,19
"March 7, 2002",Things,NA,NA,HABITS,C D M I,"$25,000",No,NA,19
"March 8, 2002",Thing,NA,NA,A TOPAZ RING,C K M I,"$25,000",No,NA,19
"March 11, 2002",Phrase,NA,NA,IT WON'T BUG ME,M D C I,"$25,000",No,NA,19
"March 12, 2002",Phrase,NA,NA,I'M ANXIOUS,M G C I,"$25,000",No,NA,19
"March 13, 2002",Phrase,NA,NA,HOW LUCKY,M C H A,"$25,000",No,NA,19
"March 14, 2002",Proper Name,NA,NA,KOBE BRYANT,D G B O,Lexus convertible,Yes,NA,19
"March 15, 2002",Things,NA,NA,SPARK PLUGS,D M P A,"$25,000",Yes,NA,19
"March 18, 2002",Rhyme Time,NA,NA,NAMBY-PAMBY,C D Y A,"$25,000",Yes,NA,19
"March 19, 2002",Proper Name,NA,NA,JIM BELUSHI,M D C O,BMW Z3,No,NA,19
"March 20, 2002",Thing,NA,NA,AN ARTICHOKE,H P C I,"$25,000",No,NA,19
"March 21, 2002",Thing,NA,NA,A PIPE,D M H A,"$25,000",No,NA,19
"March 22, 2002",Event,NA,NA,YAWNING,D C M A,Toyota MR2 Spyder,No,NA,19
"March 25, 2002",People,NA,NA,THE WHOLE GANG,C D M A,Saab convertible,No,NA,19
"March 26, 2002",Phrase,NA,NA,WHAT A BARGAIN,C D Y A,"$25,000",No,NA,19
"March 27, 2002",On the Map,NA,NA,IOWA CITY,D C H A,"$25,000",No,NA,19
"March 28, 2002",Phrase,NA,NA,SOAK IT UP,P Z M I,Volvo convertible,Yes,NA,19
"March 29, 2002",Things,NA,NA,PEACH & PLUM,C F B A,"$25,000",No,NA,19
"April 1, 2002",Phrase,NA,NA,DON'T GOOF OFF,D M P O,"$25,000",No,NA,19
"April 2, 2002",Living Things,NA,NA,MAGNOLIAS,Y M H A,Ford Explorer,No,NA,19
"April 3, 2002",Around the House,NA,NA,A FRUIT JAR,D C M A,"$25,000",No,NA,19
"April 4, 2002",Phrase,NA,NA,I'LL PROVE IT,B C G I,Ford Explorer,Yes,NA,19
"April 5, 2002",On the Map,NA,NA,BAVARIA,G M D A,Ford Mustang,No,NA,19
"April 8, 2002",Phrase,NA,NA,YOU'RE WITTY,B Y P O,"$25,000",No,NA,19
"April 9, 2002",Phrase,NA,NA,HAVE FAITH,F C D A,Jaguar X-Type,Yes,NA,19
"April 10, 2002",On the Map,NA,NA,KEY BISCAYNE,C D H A,"$25,000",Yes,NA,19
"April 11, 2002",Proper Name,NA,NA,JON VOIGHT,D C M A,"$25,000",No,NA,19
"April 12, 2002",Things,NA,NA,SOAP BUBBLES,M P D I,Porche Boxster,No,NA,19
"April 15, 2002",Thing,NA,NA,PLYWOOD,C M P O,"$25,000",Yes,NA,19
"April 16, 2002",Place,NA,NA,A GULF,A B C D,"$25,000",No,NA,19
"April 17, 2002",Thing,NA,NA,A GRAB BAG,F M D A,"$25,000",Yes,NA,19
"April 18, 2002",Thing,NA,NA,A TROPHY,D M P U,"$25,000",No,NA,19
"April 19, 2002",Living Thing,NA,NA,A PONY,B C D A,"$25,000",Yes,NA,19
"April 22, 2002",Things,NA,NA,VIVID COLORS,C D M A,Chevrolet Corvette convertible,Yes,NA,19
"April 23, 2002",Thing,NA,NA,A GOOD LAUGH,C P D A,"$25,000",No,NA,19
"April 24, 2002",Thing,NA,NA,A BIRDBATH,P G H A,"$25,000",No,NA,19
"April 25, 2002",People,NA,NA,HOCKEY FANS,C D M A,"$25,000",No,NA,19
"April 26, 2002",Title,NA,NA,FAMILY FEUD,M D Y A,Lifetime supply of 76 gasoline,Yes,NA,19
"April 29, 2002",Phrase,NA,NA,I'M TICKLISH,M C P A,Pair of Volkswagen New Beetles,Yes,NA,19
"April 30, 2002",Phrase,NA,NA,VERY FUNNY,M C B A,Pair of Jeep Libertys,No,NA,19
"May 1, 2002",Proper Name,NA,NA,JON BON JOVI,C D M A,"$25,000",No,NA,19
"May 2, 2002",Proper Name,NA,NA,ELIJAH WOOD,H D M O,"$25,000",Yes,NA,19
"May 3, 2002",Thing,NA,NA,A MOPED,C M D A,"$25,000",No,NA,19
"May 6, 2002",Thing,NA,NA,A GIFT CARD,W M K A,"$25,000",No,NA,19
"May 7, 2002",Phrase,NA,NA,I'M HOPEFUL,D C M O,"$25,000",Yes,NA,19
"May 8, 2002",Around the House,NA,NA,BABY SHAMPOO,H D C A,"$25,000",No,NA,19
"May 9, 2002",Thing,NA,NA,BREAD DOUGH,M P G A,Toyota Sequoia,No,NA,19
"May 10, 2002",Things,NA,NA,WIND CHIMES,C D M I,"$25,000",Yes,NA,19
"May 13, 2002",Thing,NA,NA,JUICY FRUIT,M C A P,"$25,000",No,NA,19
"May 14, 2002",Phrase,NA,NA,I'M CURIOUS,M C D U,"$25,000",Yes,NA,19
"May 15, 2002",Phrase,NA,NA,HANG TOUGH,H K M O,"$25,000",No,NA,19
"May 16, 2002",Phrase,NA,NA,HAPPY TO HELP,H P D O,Land Rover Freelander,Yes,NA,19
"May 17, 2002",Person,NA,NA,PARTYGOER,C M P I,Land Rover Freelander,No,NA,19
"May 20, 2002",Place,NA,NA,DUGOUT,C H M A,"$100,000",No,NA,19
"May 21, 2002",Thing,NA,NA,GUACAMOLE DIP,G H B O,Chevrolet Blazer,No,NA,19
"May 22, 2002",Thing,NA,NA,A GOLF BAG,C D P A,"$25,000",Yes,NA,19
"May 23, 2002",Place,NA,NA,THE BANK,H C D I,"$25,000",No,NA,19
"May 24, 2002",Thing,NA,NA,HUMIDITY,C D M I,Chevrolet Corvette,No,NA,19
"May 27, 2002",Thing,NA,NA,A HYPHEN,D M C A,"$25,000",No,NA,19
"May 28, 2002",Event,NA,NA,FLAG DAY,C W D I,"$25,000",No,NA,19
"May 29, 2002",Thing,NA,NA,A FISH BOWL,P H M A,Land Rover Discovery Series II,Yes,NA,19
"May 30, 2002",Phrase,NA,NA,JUST FOR KICKS,J F K I,"$25,000",Yes,NA,19
"May 31, 2002",Thing,NA,NA,SHAVED ICE,P C M I,"$25,000",Yes,NA,19
"September 2, 2002",Thing,NA,NA,SHAVING KIT,D G H O,"$25,000",No,NA,20
"September 3, 2002",Living Thing,NA,NA,A PIGEON,D C A M,"$35,000",No,NA,20
"September 4, 2002",Phrase,NA,NA,VACUUM-PACKED,P C M A,"$25,000",No,NA,20
"September 5, 2002",Event,NA,NA,A JOY RIDE,B C D A,"$25,000",No,NA,20
"September 6, 2002",Phrase,NA,NA,I'M KEEPING IT,M D G I,Ford Thunderbird,No,NA,20
"September 9, 2002",Occupation,NA,NA,SAFARI GUIDE,M C H A,"$100,000",No,NA,20
"September 10, 2002",Phrase,NA,NA,PROFITS ARE UP,C D M A,"$25,000",No,NA,20
"September 11, 2002",Living Things,NA,NA,HAWKS,F G K O,"$25,000",No,NA,20
"September 12, 2002",Event,NA,NA,NODDING OFF,C D G A,"$25,000",No,NA,20
"September 13, 2002",Person,NA,NA,A SPOKESMAN,M B A C,"$25,000",No,NA,20
"September 16, 2002",Event,NA,NA,HAPPY HOUR,C D M A,Ford Explorer,No,NA,20
"September 17, 2002",Things,NA,NA,CHIVES,C D M A,"$25,000",No,NA,20
"September 18, 2002",Thing,NA,NA,BRICK WALL,B M G A,"$25,000",No,NA,20
"September 19, 2002",Thing,NA,NA,POGO STICK,M D P O,"$50,000",Yes,NA,20
"September 20, 2002",Fictional Character,NA,NA,ALI BABA,D M P O,"$25,000",No,NA,20
"September 23, 2002",Phrase,NA,NA,THINK AGAIN,H C M I,"$25,000",No,NA,20
"September 24, 2002",Living Thing,NA,NA,IGUANA,D G P I,"$45,000",Yes,NA,20
"September 25, 2002",Thing,NA,NA,A VISOR,M C J A,"$25,000",No,NA,20
"September 26, 2002",Things,NA,NA,PAPAYAS,C D M A,"$25,000",No,NA,20
"September 27, 2002",Rhyme Time,NA,NA,FINE WINE,F W C I,"$25,000",Yes,NA,20
"September 30, 2002",On the Map,NA,NA,YUGOSLAVIA,C M D A,"$40,000",Yes,NA,20
"October 1, 2002",Phrase,NA,NA,NOW HIRING,W C J O,"$40,000",No,NA,20
"October 2, 2002",Event,NA,NA,SKIPPING,C H M O,Jeep Liberty,No,NA,20
"October 3, 2002",Thing,NA,NA,PACIFIER,C M D A,Lexus convertible,No,NA,20
"October 4, 2002",Phrase,NA,NA,GOOD GRIEF,D M P A,Jeep Liberty,No,NA,20
"October 7, 2002",Thing,NA,NA,PUNCH BOWL,G D C A,"$100,000",No,NA,20
"October 8, 2002",Thing,NA,NA,PAYCHECK,D B M A,"$30,000",No,NA,20
"October 9, 2002",Phrase,NA,NA,I'M HUNGRY,M H G I,"$35,000",Yes,NA,20
"October 10, 2002",Things,NA,NA,BOOK PAGES,C M D A,"$25,000",No,NA,20
"October 11, 2002",Person,NA,NA,NEIGHBOR,W C M O,Volvo S40,No,NA,20
"October 14, 2002",Thing,NA,NA,MINIVAN,D P M O,"$25,000",No,NA,20
"October 15, 2002",Living Things,NA,NA,GUPPIES,P M C I,Saturn Vue,Yes,NA,20
"October 16, 2002",Living Things,NA,NA,FAWNS,B C M O,"$50,000",No,NA,20
"October 17, 2002",Around the House,NA,NA,COAT HOOK,D M W A,"$45,000",No,NA,20
"October 18, 2002",Event,NA,NA,HAVING A BABY,C M D O,Chrysler PT Cruiser,No,NA,20
"October 21, 2002",Living Thing,NA,NA,A DAISY,P C H O,Land Rover,No,NA,20
"October 22, 2002",Person,NA,NA,OLYMPIAN,P C G A,"$25,000",No,NA,20
"October 23, 2002",Place,NA,NA,SUBURB,C P H A,"$25,000",No,NA,20
"October 24, 2002",Thing,NA,NA,EXHIBIT,V D F A,Audi TT,No,NA,20
"October 25, 2002",Thing,NA,NA,A WISH,F A C K,"$25,000",No,NA,20
"October 28, 2002",Event,NA,NA,OCEAN VOYAGE,G B C A,"$35,000",No,NA,20
"October 29, 2002",People,NA,NA,COWBOYS,B P D A,Toyota MR2 Spyder,No,NA,20
"October 30, 2002",Thing,NA,NA,SHINY HAIR,D H M O,"$25,000",Yes,NA,20
"October 31, 2002",Thing,NA,NA,A RHYME,C G M O,"$25,000",Yes,NA,20
"November 1, 2002",On the Map,NA,NA,HUNGARY,D G P I,"$25,000",Yes,NA,20
"November 4, 2002",Living Things,NA,NA,HUSKIES,K B P O,Mercedes C230,Yes,NA,20
"November 5, 2002",On the Map,NA,NA,BOLIVIA,B D F A,"$25,000",Yes,NA,20
"November 6, 2002",Thing,NA,NA,SKI JUMP,C G B I,"$25,000",Yes,NA,20
"November 7, 2002",Phrase,NA,NA,ROUGHING IT,M D C O,"$25,000",No,NA,20
"November 8, 2002",Thing,NA,NA,A BRIDGE,C D M A,"$25,000",No,NA,20
"November 11, 2002",Place,NA,NA,THRIFT SHOP,C D H A,"$25,000",Yes,NA,20
"November 12, 2002",Phrase,NA,NA,WAKE UP,M P D I,Nissan Xterra,Yes,NA,20
"November 13, 2002",Thing,NA,NA,CORKBOARD,C M P O,"$25,000",No,NA,20
"November 14, 2002",Things,NA,NA,CHICKEN FAJITAS,C M H O,"$25,000",No,NA,20
"November 15, 2002",Things,NA,NA,AUDIO & VIDEO,C P H A,"$25,000",No,NA,20
"November 18, 2002",Thing,NA,NA,MAILBOX,C P B A,"$25,000",No,NA,20
"November 19, 2002",Phrase,NA,NA,SHRUG IT OFF,P D A M,Pair of Buick Rendezvous,No,NA,20
"November 20, 2002",People,NA,NA,HOMEBUYERS,C M D A,"$35,000",No,NA,20
"November 21, 2002",Things,NA,NA,THIGHS,C D M A,"$25,000",No,NA,20
"November 22, 2002",Event,NA,NA,SCRUBBING,P G B I,"$25,000",Yes,NA,20
"November 25, 2002",Thing,NA,NA,A BIKINI,G K C I,"$25,000",Yes,NA,20
"November 26, 2002",Thing,NA,NA,CUP OF FLOUR,F J M O,Saab convertible,Yes,NA,20
"November 27, 2002",Thing,NA,NA,A GAG GIFT,C D P O,Ford Thunderbird,No,NA,20
"November 28, 2002",Phrase,NA,NA,A FAIR SHAKE,C M P O,"$25,000",No,NA,20
"November 29, 2002",Thing,NA,NA,BEAR HUG,D G C O,"$25,000",No,NA,20
"December 2, 2002",Things,NA,NA,HOURLY WAGES,C F M A,"$35,000",No,NA,20
"December 3, 2002",Around the House,NA,NA,WORKBENCH,D M C O,"$25,000",Yes,NA,20
"December 4, 2002",Place,NA,NA,CAMPGROUND,D M C A,"$100,000",Yes,NA,20
"December 5, 2002",On the Map,NA,NA,PARAGUAY,M C D O,"$25,000",No,NA,20
"December 6, 2002",Person,NA,NA,SHIPMATE,C G P A,"$40,000",Yes,NA,20
"December 9, 2002",Event,NA,NA,FROWNING,G B P A,"$25,000",No,NA,20
"December 10, 2002",Thing,NA,NA,CHEWING GUM,D M C A,Audi TT,Yes,NA,20
"December 11, 2002",Living Thing,NA,NA,GIRAFFE,C K M O,"$50,000",No,NA,20
"December 12, 2002",Phrase,NA,NA,WAIT IT OUT,A B C D,"$100,000",No,NA,20
"December 13, 2002",Occupation,NA,NA,BOOKKEEPER,C P M O,Audi TT,Yes,NA,20
"December 16, 2002",Thing,NA,NA,BOOK REVIEW,P G M A,"$25,000",No,NA,20
"December 17, 2002",Things,NA,NA,RUBIES,C D M A,"$25,000",No,NA,20
"December 18, 2002",On the Map,NA,NA,FLAGSTAFF,C D M A,"$25,000",Yes,NA,20
"December 19, 2002",Phrase,NA,NA,PLUG IT IN,C G B I,"$25,000",Yes,NA,20
"December 20, 2002",Person,NA,NA,BOYFRIEND,C H M I,Mitsubishi Eclipse Spyder,No,NA,20
"December 23, 2002",Living Thing,NA,NA,MOCKINGBIRD,M C G I,Mazda Miata,Yes,NA,20
"December 24, 2002",Event,NA,NA,GIFT EXCHANGE,C D G O,"$25,000",No,NA,20
"December 25, 2002",Person,NA,NA,CHILD PRODIGY,H B F O,Mazda Miata,No,NA,20
"December 26, 2002",Place,NA,NA,OFFSTAGE,P C M O,Mazda Miata,No,NA,20
"December 27, 2002",Things,NA,NA,HIGH HOPES,C D M A,"$35,000",No,NA,20
"December 30, 2002",Living Thing,NA,NA,PEACOCK,D M W A,"$100,000",No,NA,20
"December 31, 2002",Thing,NA,NA,THICK FOG,C D M A,"$25,000",No,NA,20
"January 1, 2003",Things,NA,NA,HEIGHT & WEIGHT,D M C A,Cadillac CTS,No,NA,20
"January 2, 2003",Phrase,NA,NA,YOU'VE GOT SPUNK,W H P O,"$40,000",No,NA,20
"January 3, 2003",On the Map,NA,NA,SHANGHAI,H P M I,"$25,000",Yes,NA,20
"January 6, 2003",Thing,NA,NA,THE GOODYEAR BLIMP,C D M A,"$25,000",Yes,NA,20
"January 7, 2003",Phrase,NA,NA,STAMP OF APPROVAL,M P F O,"$25,000",Yes,NA,20
"January 8, 2003",On the Map,NA,NA,LUBBOCK,A D G P,"$30,000",No,NA,20
